Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2012-04-23,5.14419335435,947.46097438,5.2,5.25,5.0,5.0,-3.8461538461538494,,,,,,,,,,,,,,
2012-04-24,5.08418890962,1975.83110589,4.99,5.15,4.98,5.08,1.8036072144288546,,,,,,,,,,,,,,
2012-04-25,5.01464018279,1634.21397671,5.12,5.14,4.86,5.14,0.3906249999999917,,,,,,,,,,,,,,
2012-04-26,5.02198481157,762.130218,5.1,5.12,4.86,4.98,-2.3529411764705728,,,,,,,,,,,,,,
2012-04-27,5.01111894246,718.01401093,5.03,5.08,4.99,5.04,0.19880715705764984,,,,,,,,,,,,,,
2012-04-28,4.95982384462,205.02552687,5.07,5.07,4.85,4.91,-3.155818540433928,,,,,,,,,,,,,,
2012-04-29,4.88020974012,62.87862749,4.92,4.96,4.81,4.91,-0.2032520325203209,,,,,,,,,,,,,,
2012-04-30,4.946262214,490.58077756,4.92,5.02,4.87,5.0,1.6260162601626031,,,,,,,,,,,,,,
2012-05-01,4.97423921376,831.74622588,4.94,5.04,4.86,4.97,0.6072874493926995,,,,,,,,,,,,,,
2012-05-02,5.07476056435,495.3171434,5.01,5.15,5.01,5.06,0.9980039920159646,,,,,,,,,,,,,,
2012-05-03,5.10587149563,645.08940157,5.06,5.13,5.05,5.1,0.7905138339920956,,,,,,,,,,,,,,
2012-05-04,5.1149578255,776.04276349,5.1,5.15,5.07,5.07,-0.5882352941176345,,,,,,,,,,,,,,
2012-05-05,5.06578518029,415.56904636,5.09,5.11,5.04,5.04,-0.9823182711198394,,,,,,,,,,,,,,
2012-05-06,5.05264858489,1234.04605556,5.06,5.1,5.02,5.08,0.3952569169960566,,,,,,,,,,,,,,
2012-05-07,5.03445520713,874.47864459,5.05,5.08,4.97,5.05,0.0,,,,,,,,,,,,,,
2012-05-08,5.04619539701,640.55868732,5.06,5.08,4.99,5.02,-0.7905138339920956,,,,,,,,,,,,,,
2012-05-09,5.03855295587,350.28159466,5.02,5.08,5.01,5.02,0.0,,,,,,,,,,,,,,
2012-05-10,4.99070997669,907.11429341,5.02,5.04,4.87,4.87,-2.98804780876493,,,,,,,,,,,,,,
2012-05-11,4.92669209539,413.82665677,4.97,4.97,4.87,4.95,-0.4024144869215206,,,,,,,,,,,,,,
2012-05-12,4.92687078649,219.33389116,4.95,4.97,4.91,4.91,-0.8080808080808087,,,,,,,,,,,,,,
2012-05-13,4.94178748514,395.46296566,4.95,4.95,4.94,4.94,-0.20202020202019771,,,,,,,,,,,,,,
2012-05-14,4.9265588519,718.72911768,4.93,4.99,4.88,4.93,0.0,,,,,,,,,,,,,,
2012-05-15,4.96395388576,600.99596383,4.95,5.01,4.9,4.95,0.0,,,,,,,,,,,,,,
2012-05-16,5.01085553693,178.0332215,5.0,5.04,4.98,5.04,0.8000000000000007,,,,,,,,,,,,,,
2012-05-17,5.02526332524,611.21283218,5.02,5.03,5.01,5.02,0.0,,,,,,,,,,,,,,
2012-05-18,5.04947011862,912.52426975,5.03,5.07,5.03,5.07,0.7952286282306169,,,,,,,,,,,,,,
2012-05-19,5.06865575572,168.0059752,5.08,5.08,5.05,5.07,-0.1968503937007832,,,,,,,,,,,,,,
2012-05-20,5.07399260507,26.40212653,5.03,5.08,5.03,5.03,0.0,,,,,,,,,,,,,,
2012-05-21,5.05946322657,354.05739561,5.04,5.09,5.01,5.08,0.7936507936507943,,,,,,,,,,,,,,
2012-05-22,5.05125141106,678.06758546,5.05,5.07,5.0,5.03,-0.3960396039603876,,,,,,,,,,,,,,
2012-05-23,5.06408885244,558.15131265,5.02,5.1,5.02,5.1,1.5936254980079698,,,,,,,,,,,,,,
2012-05-24,5.09220833645,904.74009563,5.08,5.12,5.04,5.12,0.7874015748031503,,,,,,,,,,,,,,
